Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: sched_dep_time
Target column sched_dep_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_51.59%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_51.59%_HC.png
Program completed in: 15.114195823669434 seconds
6530674916, Weighted Score: 8.006016787417717
Cluster count: 66, Silhouette Score: 0.7114155251036653, Davies-Bouldin Score: 0.605057905954835, Weighted Score: 4.0395682242383195
Cluster count: 67, Silhouette Score: 0.7127984682990995, Davies-Bouldin Score: 0.5968085417275248, Weighted Score: 4.046288822787233
Cluster count: 68, Silhouette Score: 0.720494880994905, Davies-Bouldin Score: 0.579014634824719, Weighted Score: 4.079240080512457
Cluster count: 69, Silhouette Score: 0.7201170467845036, Davies-Bouldin Score: 0.5778519154989289, Weighted Score: 4.077958218018151
Cluster count: 70, Silhouette Score: 0.7146338791566638, Davies-Bouldin Score: 0.5774241137596294, Weighted Score: 4.056651767061178
Cluster count: 71, Silhouette Score: 0.7137599670072088, Davies-Bouldin Score: 0.5756008040911089, Weighted Score: 4.053562593768353
Cluster count: 72, Silhouette Score: 0.7156083741329342, Davies-Bouldin Score: 0.5636788106164735, Weighted Score: 4.0627734212976705
Cluster count: 73, Silhouette Score: 0.7191172164154658, Davies-Bouldin Score: 0.556651335393581, Weighted Score: 4.077658014020737
Cluster count: 74, Silhouette Score: 0.7231777333504296, Davies-Bouldin Score: 0.5482838059157189, Weighted Score: 4.094994228448577
Cluster count: 75, Silhouette Score: 0.7278796041680398, Davies-Bouldin Score: 0.5347661644394673, Weighted Score: 4.115836189530878
Cluster count: 76, Silhouette Score: 0.727422138801056, Davies-Bouldin Score: 0.5323088816449311, Weighted Score: 4.114466523569166
Cluster count: 77, Silhouette Score: 0.7324610427644774, Davies-Bouldin Score: 0.5082298831573393, Weighted Score: 4.138654866673826
Cluster count: 78, Silhouette Score: 0.7309424713912552, Davies-Bouldin Score: 0.5070312385266966, Weighted Score: 4.1328650852657525
Cluster count: 79, Silhouette Score: 0.735576262941142, Davies-Bouldin Score: 0.5057169939538756, Weighted Score: 4.151458782982649
Cluster count: 80, Silhouette Score: 0.7363836018886746, Davies-Bouldin Score: 0.5060192022869476, Weighted Score: 4.154610978537833
Cluster count: 81, Silhouette Score: 0.7398728708043235, Davies-Bouldin Score: 0.4855627421993622, Weighted Score: 4.172238663648225
Cluster count: 82, Silhouette Score: 0.7337560988501959, Davies-Bouldin Score: 0.48572240442834147, Weighted Score: 4.147892193838286
Cluster count: 83, Silhouette Score: 0.7388980373628126, Davies-Bouldin Score: 0.485537131778999, Weighted Score: 4.168358007226305
Cluster count: 84, Silhouette Score: 0.7409739223238926, Davies-Bouldin Score: 0.4659627867647127, Weighted Score: 4.180285617689169
Cluster count: 85, Silhouette Score: 0.7407360558204988, Davies-Bouldin Score: 0.4665674076553761, Weighted Score: 4.17922237021203
Cluster count: 86, Silhouette Score: 0.7423970479248233, Davies-Bouldin Score: 0.46601050805775757, Weighted Score: 4.185961833356099
Cluster count: 87, Silhouette Score: 0.7381039506075822, Davies-Bouldin Score: 0.4685766666502603, Weighted Score: 4.168353595329603
Cluster count: 88, Silhouette Score: 0.7376279533747324, Davies-Bouldin Score: 0.46996520239425554, Weighted Score: 4.166198757056018
Cluster count: 89, Silhouette Score: 0.7371475761144614, Davies-Bouldin Score: 0.46856989842399566, Weighted Score: 4.16454975526052
Cluster count: 90, Silhouette Score: 0.7396906177898179, Davies-Bouldin Score: 0.46807007792003524, Weighted Score: 4.1747696186229115
Cluster count: 91, Silhouette Score: 0.743214959703885, Davies-Bouldin Score: 0.4684565811526822, Weighted Score: 4.188773035293834
Cluster count: 92, Silhouette Score: 0.7457912395172932, Davies-Bouldin Score: 0.46732971701251735, Weighted Score: 4.19930570889067
Cluster count: 93, Silhouette Score: 0.7451330304179168, Davies-Bouldin Score: 0.46611208468653975, Weighted Score: 4.196895357818468
Cluster count: 94, Silhouette Score: 0.7432758425578792, Davies-Bouldin Score: 0.46683446076681784, Weighted Score: 4.1893214996221815
Cluster count: 95, Silhouette Score: 0.7434143774730535, Davies-Bouldin Score: 0.46798783424716534, Weighted Score: 4.189659028660257
Cluster count: 96, Silhouette Score: 0.739113911145269, Davies-Bouldin Score: 0.4687401555723516, Weighted Score: 4.172345165339387

Best number of clusters: 84
Best Weighted Score: 4.180285617689169
Final Silhouette Score: 0.7409739223238926
Final Davies-Bouldin Score: 0.4659627867647127
