Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: act_arr_time
Target column act_arr_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_30.63%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_30.63%_HC.png
Program completed in: 15.428985357284546 seconds
494879109401218, Weighted Score: 8.011689535275485
Cluster count: 69, Silhouette Score: 0.7405210459603826, Davies-Bouldin Score: 0.5381792267444154, Weighted Score: 4.165362023183389
Cluster count: 70, Silhouette Score: 0.7347267287808381, Davies-Bouldin Score: 0.5384986339625627, Weighted Score: 4.1422523508273
Cluster count: 71, Silhouette Score: 0.7376881400116092, Davies-Bouldin Score: 0.5089447217078765, Weighted Score: 4.1592699041245345
Cluster count: 72, Silhouette Score: 0.7393713253818852, Davies-Bouldin Score: 0.5083079486363759, Weighted Score: 4.166087693669125
Cluster count: 73, Silhouette Score: 0.7403196806903091, Davies-Bouldin Score: 0.5081412957788535, Weighted Score: 4.169899359276246
Cluster count: 74, Silhouette Score: 0.7420461939923005, Davies-Bouldin Score: 0.5020311249042576, Weighted Score: 4.177899250613323
Cluster count: 75, Silhouette Score: 0.7410624286351319, Davies-Bouldin Score: 0.5031774674857529, Weighted Score: 4.173761708104986
Cluster count: 76, Silhouette Score: 0.7443686508403482, Davies-Bouldin Score: 0.5012660534921386, Weighted Score: 4.187330274896285
Cluster count: 77, Silhouette Score: 0.7402317216357901, Davies-Bouldin Score: 0.5028263344196444, Weighted Score: 4.1705102878121005
Cluster count: 78, Silhouette Score: 0.7339768190781032, Davies-Bouldin Score: 0.5014597473128689, Weighted Score: 4.145885079224568
Cluster count: 79, Silhouette Score: 0.7284186349961355, Davies-Bouldin Score: 0.5014422692909847, Weighted Score: 4.1239156703098026
Cluster count: 80, Silhouette Score: 0.7287629020247003, Davies-Bouldin Score: 0.5011663189786679, Weighted Score: 4.125323226125388
