Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_40.76%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_40.76%_DBSCAN.png
Program completed in: 11.762829780578613 seconds
umn sched_arr_time
Starting DBSCAN clustering at 2024-10-17 23:45:03
Clusters: 20, eps: 0.7000000000000002, min_samples: 25, Silhouette: 0.3872453802539835, DB Score: 1.1343497458822571, Combined Score: 2.8991534787974773
Clusters: 36, eps: 0.7500000000000002, min_samples: 5, Silhouette: 0.5200102528600655, DB Score: 1.016625226884279, Combined Score: 3.309134628243163
Clusters: 30, eps: 0.7500000000000002, min_samples: 10, Silhouette: 0.5014796327405159, DB Score: 1.0343755378931465, Combined Score: 3.248462145469367
Clusters: 27, eps: 0.7500000000000002, min_samples: 15, Silhouette: 0.4727668827246002, DB Score: 1.072258222897767, Combined Score: 3.1555703801670782
Clusters: 21, eps: 0.7500000000000002, min_samples: 20, Silhouette: 0.44028300368383355, DB Score: 1.0812641293513308, Combined Score: 3.0570732722079192
Clusters: 21, eps: 0.7500000000000002, min_samples: 25, Silhouette: 0.404742580286249, DB Score: 1.1144221057868575, Combined Score: 2.9505658789550524
Clusters: 34, eps: 0.8000000000000002, min_samples: 5, Silhouette: 0.5192925433322094, DB Score: 1.029131575550106, Combined Score: 3.3054893201420064
Clusters: 29, eps: 0.8000000000000002, min_samples: 10, Silhouette: 0.5054138804557833, DB Score: 1.0354387800204408, Combined Score: 3.260733902754273
Clusters: 25, eps: 0.8000000000000002, min_samples: 15, Silhouette: 0.4784258180993558, DB Score: 1.0746235646585407, Combined Score: 3.1726529546210656
Clusters: 23, eps: 0.8000000000000002, min_samples: 20, Silhouette: 0.45269222706599405, DB Score: 1.08793939953382, Combined Score: 3.093298080484617
Clusters: 21, eps: 0.8000000000000002, min_samples: 25, Silhouette: 0.4204053884099958, DB Score: 1.0950934149652738, Combined Score: 2.9975110518656214
Clusters: 34, eps: 0.8500000000000002, min_samples: 5, Silhouette: 0.5192925433322094, DB Score: 1.029131575550106, Combined Score: 3.3054893201420064
Clusters: 30, eps: 0.8500000000000002, min_samples: 10, Silhouette: 0.5087697958829728, DB Score: 1.0118532377248712, Combined Score: 3.273879176888268
Clusters: 26, eps: 0.8500000000000002, min_samples: 15, Silhouette: 0.48607302294165444, DB Score: 1.060522791215695, Combined Score: 3.1976761402407474
Clusters: 23, eps: 0.8500000000000002, min_samples: 20, Silhouette: 0.4562278703881402, DB Score: 1.0799334554740987, Combined Score: 3.104708678345314
Clusters: 21, eps: 0.8500000000000002, min_samples: 25, Silhouette: 0.43435019307671185, DB Score: 1.0995603852319993, Combined Score: 3.0377470910630766
Clusters: 33, eps: 0.9000000000000002, min_samples: 5, Silhouette: 0.5190584508643542, DB Score: 0.9891572000991646, Combined Score: 3.3091125688963894
Clusters: 29, eps: 0.9000000000000002, min_samples: 10, Silhouette: 0.5096015920753807, DB Score: 1.0145203549091653, Combined Score: 3.276222256496613
Clusters: 26, eps: 0.9000000000000002, min_samples: 15, Silhouette: 0.49050412770407015, DB Score: 1.0498320817862865, Combined Score: 3.212532016485191
Clusters: 23, eps: 0.9000000000000002, min_samples: 20, Silhouette: 0.4595131837579078, DB Score: 1.074420348108277, Combined Score: 3.1151533731844037
Clusters: 21, eps: 0.9000000000000002, min_samples: 25, Silhouette: 0.43959656529056945, DB Score: 1.0835008447543755, Combined Score: 3.0548179895766525
Clusters: 33, eps: 0.9500000000000003, min_samples: 5, Silhouette: 0.5193332657155043, DB Score: 0.8997420302690542, Combined Score: 3.320426793095658
Clusters: 30, eps: 0.9500000000000003, min_samples: 10, Silhouette: 0.512962229674899, DB Score: 1.0370104606321036, Combined Score: 3.284465802480529
Clusters: 26, eps: 0.9500000000000003, min_samples: 15, Silhouette: 0.4915274332498007, DB Score: 1.0474923885147498, Combined Score: 3.2159595528517944
Clusters: 23, eps: 0.9500000000000003, min_samples: 20, Silhouette: 0.4627369875529496, DB Score: 1.0587175967550835, Combined Score: 3.126502837640644
Clusters: 21, eps: 0.9500000000000003, min_samples: 25, Silhouette: 0.4420950829691574, DB Score: 1.0791594124249448, Combined Score: 3.0626477877780327
Clusters: 33, eps: 1.0000000000000004, min_samples: 5, Silhouette: 0.5193332657155043, DB Score: 0.8997420302690542, Combined Score: 3.320426793095658
Clusters: 30, eps: 1.0000000000000004, min_samples: 10, Silhouette: 0.5141262763590912, DB Score: 0.9889770844756318, Combined Score: 3.293400641349476
Clusters: 27, eps: 1.0000000000000004, min_samples: 15, Silhouette: 0.49710770713880553, DB Score: 1.0334584923895034, Combined Score: 3.2348541245180646
Clusters: 24, eps: 1.0000000000000004, min_samples: 20, Silhouette: 0.4675127308534352, DB Score: 1.0711536504086188, Combined Score: 3.1396855154801084
Clusters: 21, eps: 1.0000000000000004, min_samples: 25, Silhouette: 0.44478708861374205, DB Score: 1.073447488877709, Combined Score: 3.0712127808530214
