Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: act_arr_time
Target column act_arr_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_62.87%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_62.87%_HC.png
Program completed in: 15.09841012954712 seconds
.4706580443647874, Weighted Score: 8.40823051965796
Cluster count: 76, Silhouette Score: 0.7111554087411898, Davies-Bouldin Score: 0.45452404731873186, Weighted Score: 4.065172368084297
Cluster count: 77, Silhouette Score: 0.7164021731464133, Davies-Bouldin Score: 0.45580058146591873, Weighted Score: 4.085312752172577
Cluster count: 78, Silhouette Score: 0.7173214099261113, Davies-Bouldin Score: 0.4568772029657164, Weighted Score: 4.088690301817168
Cluster count: 79, Silhouette Score: 0.716794876314457, Davies-Bouldin Score: 0.4563487590914073, Weighted Score: 4.086738457727013
Cluster count: 80, Silhouette Score: 0.7275126581031129, Davies-Bouldin Score: 0.4578225955944054, Weighted Score: 4.128446686582525
Cluster count: 81, Silhouette Score: 0.7205325354028035, Davies-Bouldin Score: 0.46063678883835796, Weighted Score: 4.100516784508731
Cluster count: 82, Silhouette Score: 0.7176011238045895, Davies-Bouldin Score: 0.4614634985856289, Weighted Score: 4.08891168074761
Cluster count: 83, Silhouette Score: 0.7186314498139271, Davies-Bouldin Score: 0.45785439697507, Weighted Score: 4.0936155640172425
Cluster count: 84, Silhouette Score: 0.7203235698058746, Davies-Bouldin Score: 0.45698608690370696, Weighted Score: 4.100391763895999
Cluster count: 85, Silhouette Score: 0.7199393409830478, Davies-Bouldin Score: 0.45680085072554233, Weighted Score: 4.098924740787776
Cluster count: 86, Silhouette Score: 0.7216130407718689, Davies-Bouldin Score: 0.4557161683851119, Weighted Score: 4.105678791548427
Cluster count: 87, Silhouette Score: 0.7230568429095962, Davies-Bouldin Score: 0.452934057219321, Weighted Score: 4.11186594300032
Cluster count: 88, Silhouette Score: 0.7238683801601584, Davies-Bouldin Score: 0.45283251751993653, Weighted Score: 4.115068751506561
Cluster count: 89, Silhouette Score: 0.721727121842377, Davies-Bouldin Score: 0.45305244750116735, Weighted Score: 4.106632809345221
Cluster count: 90, Silhouette Score: 0.7207918040986501, Davies-Bouldin Score: 0.45562425332405465, Weighted Score: 4.102482058106788
Cluster count: 91, Silhouette Score: 0.7190407859244092, Davies-Bouldin Score: 0.4576795019725393, Weighted Score: 4.095247063674685
Cluster count: 92, Silhouette Score: 0.7200764497582838, Davies-Bouldin Score: 0.45768636182365713, Weighted Score: 4.0992925610207855
Cluster count: 93, Silhouette Score: 0.7187730031517736, Davies-Bouldin Score: 0.4575030274430605, Weighted Score: 4.094234901203369
Cluster count: 94, Silhouette Score: 0.7137715787430539, Davies-Bouldin Score: 0.45850791822343967, Weighted Score: 4.074565518042945
Cluster count: 95, Silhouette Score: 0.713066834972667, Davies-Bouldin Score: 0.4580476077289782, Weighted Score: 4.071915951367049
Cluster count: 96, Silhouette Score: 0.7099394099830092, Davies-Bouldin Score: 0.4600163980246439, Weighted Score: 4.059420529668033

Best number of clusters: 47
Best Weighted Score: 4.133567246606427
Final Silhouette Score: 0.7351579919771862
Final Davies-Bouldin Score: 0.5997128023956344
