Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_clean_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_clean_DBSCAN.png
Program completed in: 11.597492456436157 seconds
umn act_dep_time
Starting DBSCAN clustering at 2024-10-18 01:59:29
Clusters: 5, eps: 0.7500000000000002, min_samples: 20, Silhouette: 0.08535446899220238, DB Score: 1.839356019612086, Combined Score: 2.120018244341007
Clusters: 8, eps: 0.7500000000000002, min_samples: 25, Silhouette: -0.023866316447972175, DB Score: 1.6386146152656778, Combined Score: 1.9161968396403126
Clusters: 24, eps: 0.8000000000000002, min_samples: 5, Silhouette: 0.11307854288805384, DB Score: 1.3778573805553325, Combined Score: 2.206235383842367
Clusters: 10, eps: 0.8000000000000002, min_samples: 10, Silhouette: 0.09878674668648851, DB Score: 1.6510831902501544, Combined Score: 2.157918992195147
Clusters: 10, eps: 0.8000000000000002, min_samples: 15, Silhouette: 0.11102181137676177, DB Score: 1.5167904235536183, Combined Score: 2.1920468608508927
Clusters: 6, eps: 0.8000000000000002, min_samples: 20, Silhouette: 0.13737678103527812, DB Score: 1.5698330291875375, Combined Score: 2.245427817873731
Clusters: 6, eps: 0.8000000000000002, min_samples: 25, Silhouette: 0.043716477494158176, DB Score: 1.7364352594379395, Combined Score: 2.0406700697123186
Clusters: 19, eps: 0.8500000000000002, min_samples: 5, Silhouette: 0.07162215478739421, DB Score: 1.316631368409475, Combined Score: 2.1244897841573827
Clusters: 8, eps: 0.8500000000000002, min_samples: 10, Silhouette: 0.06571777754043426, DB Score: 1.6154921773120579, Combined Score: 2.0916831635159303
Clusters: 10, eps: 0.8500000000000002, min_samples: 15, Silhouette: 0.08432116254462065, DB Score: 1.4383556366411872, Combined Score: 2.1413973676622855
Clusters: 6, eps: 0.8500000000000002, min_samples: 20, Silhouette: 0.07646077200820012, DB Score: 1.4981189264349106, Combined Score: 2.1210583396540805
Clusters: 2, eps: 0.8500000000000002, min_samples: 25, Silhouette: 0.20816414870609545, DB Score: 2.1146417698494955, Combined Score: 2.37933661434641
Clusters: 19, eps: 0.9000000000000002, min_samples: 5, Silhouette: 0.06358658419750943, DB Score: 1.2733666378876245, Combined Score: 2.1116855779582915
Clusters: 9, eps: 0.9000000000000002, min_samples: 10, Silhouette: 0.06778714772763929, DB Score: 1.4879694327422082, Combined Score: 2.1040039563639197
Clusters: 10, eps: 0.9000000000000002, min_samples: 15, Silhouette: 0.05061188445954056, DB Score: 1.5065619276845899, Combined Score: 2.0680813806723544
Clusters: 4, eps: 0.9000000000000002, min_samples: 20, Silhouette: 0.09698657318412698, DB Score: 1.6967545573434084, Combined Score: 2.151571983905624
Clusters: 4, eps: 0.9000000000000002, min_samples: 25, Silhouette: 0.17281029397548783, DB Score: 1.7084958158748726, Combined Score: 2.316083499979883
Clusters: 13, eps: 0.9500000000000003, min_samples: 5, Silhouette: 0.09923626082759325, DB Score: 1.2724963066603086, Combined Score: 2.1853501866914504
Clusters: 9, eps: 0.9500000000000003, min_samples: 10, Silhouette: 0.0822626532228542, DB Score: 1.4746463187005157, Combined Score: 2.1346028150883734
Clusters: 9, eps: 0.9500000000000003, min_samples: 15, Silhouette: 0.06467140271088646, DB Score: 1.6034435913527179, Combined Score: 2.090280892357387
Clusters: 6, eps: 0.9500000000000003, min_samples: 20, Silhouette: 0.08788125359083943, DB Score: 1.6009678282047068, Combined Score: 2.138095671271425
Clusters: 3, eps: 0.9500000000000003, min_samples: 25, Silhouette: 0.19455884189843345, DB Score: 1.8376600710292705, Combined Score: 2.3592273352729354
Clusters: 12, eps: 1.0000000000000004, min_samples: 5, Silhouette: 0.09980317907552176, DB Score: 1.301457735613093, Combined Score: 2.184142800524947
Clusters: 12, eps: 1.0000000000000004, min_samples: 10, Silhouette: 0.08633476734677596, DB Score: 1.3892678312455742, Combined Score: 2.149152154845003
Clusters: 8, eps: 1.0000000000000004, min_samples: 15, Silhouette: 0.07556057336645067, DB Score: 1.637462858183489, Combined Score: 2.110486932486305
Clusters: 7, eps: 1.0000000000000004, min_samples: 20, Silhouette: 0.10170862533024716, DB Score: 1.5666123779690668, Combined Score: 2.1691377308274786
Clusters: 4, eps: 1.0000000000000004, min_samples: 25, Silhouette: 0.18897133621232393, DB Score: 1.7260001476036613, Combined Score: 2.351989633596622
