Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_24.56%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_24.56%_DBSCAN.png
Program completed in: 13.9398033618927 seconds
ight
Starting DBSCAN clustering at 2024-10-17 22:33:40
Clusters: 30, eps: 0.8500000000000002, min_samples: 5, Silhouette: 0.5229444258590881, DB Score: 0.9322081399329233, Combined Score: 3.328100361269891
Clusters: 26, eps: 0.8500000000000002, min_samples: 10, Silhouette: 0.5047495559432208, DB Score: 1.0515964667380848, Combined Score: 3.256931872369498
Clusters: 21, eps: 0.8500000000000002, min_samples: 15, Silhouette: 0.47032487016930485, DB Score: 1.1573080332475723, Combined Score: 3.139753178792289
Clusters: 18, eps: 0.8500000000000002, min_samples: 20, Silhouette: 0.437236036367238, DB Score: 1.2074257519897564, Combined Score: 3.036022022703051
Clusters: 15, eps: 0.8500000000000002, min_samples: 25, Silhouette: 0.4169954346993382, DB Score: 1.2339893430759923, Combined Score: 2.9746348462886245
Clusters: 30, eps: 0.9000000000000002, min_samples: 5, Silhouette: 0.5234347379220917, DB Score: 0.9084329611080759, Combined Score: 3.332516260976238
Clusters: 26, eps: 0.9000000000000002, min_samples: 10, Silhouette: 0.5072692293346076, DB Score: 1.0372396751757218, Combined Score: 3.2663998392674163
Clusters: 21, eps: 0.9000000000000002, min_samples: 15, Silhouette: 0.4725324394108421, DB Score: 1.1526209445958864, Combined Score: 3.1469266821435284
Clusters: 19, eps: 0.9000000000000002, min_samples: 20, Silhouette: 0.44340953185189835, DB Score: 1.2196592646384248, Combined Score: 3.053176915854918
Clusters: 15, eps: 0.9000000000000002, min_samples: 25, Silhouette: 0.4173430034450134, DB Score: 1.232796988440882, Combined Score: 2.9757427553816016
Clusters: 30, eps: 0.9500000000000003, min_samples: 5, Silhouette: 0.5234347379220917, DB Score: 0.9084329611080759, Combined Score: 3.332516260976238
Clusters: 26, eps: 0.9500000000000003, min_samples: 10, Silhouette: 0.5072692293346076, DB Score: 1.0372396751757218, Combined Score: 3.2663998392674163
Clusters: 22, eps: 0.9500000000000003, min_samples: 15, Silhouette: 0.4766093426606692, DB Score: 1.0982977547411172, Combined Score: 3.1646846098746844
Clusters: 19, eps: 0.9500000000000003, min_samples: 20, Silhouette: 0.45469444693853245, DB Score: 1.2120492294748906, Combined Score: 3.0874982191224616
Clusters: 15, eps: 0.9500000000000003, min_samples: 25, Silhouette: 0.41805026468098083, DB Score: 1.229917183048633, Combined Score: 2.978038441845907
Clusters: 30, eps: 1.0000000000000004, min_samples: 5, Silhouette: 0.5234347379220917, DB Score: 0.9084329611080759, Combined Score: 3.332516260976238
Clusters: 26, eps: 1.0000000000000004, min_samples: 10, Silhouette: 0.5081497831442068, DB Score: 1.0329066337038237, Combined Score: 3.2696454064938902
Clusters: 22, eps: 1.0000000000000004, min_samples: 15, Silhouette: 0.4817690054097815, DB Score: 1.1143178280277888, Combined Score: 3.1789483072211886
Clusters: 19, eps: 1.0000000000000004, min_samples: 20, Silhouette: 0.4602592786920488, DB Score: 1.2056731456498284, Combined Score: 3.1048003809624456
Clusters: 16, eps: 1.0000000000000004, min_samples: 25, Silhouette: 0.4260656567854825, DB Score: 1.2228766234610369, Combined Score: 3.0019183741017956
