Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_8.69%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_8.69%_DBSCAN.png
Program completed in: 14.607945919036865 seconds
tarting DBSCAN clustering at 2024-10-18 01:41:51
Clusters: 9, eps: 0.6500000000000001, min_samples: 15, Silhouette: 0.5496343351762986, DB Score: 1.3048615666901746, Combined Score: 3.378186398124745
Clusters: 6, eps: 0.6500000000000001, min_samples: 20, Silhouette: 0.5359835906138977, DB Score: 1.4485196256499222, Combined Score: 3.3226003971576663
Clusters: 6, eps: 0.6500000000000001, min_samples: 25, Silhouette: 0.5293655169315562, DB Score: 1.4523656082922123, Combined Score: 3.300878130417767
Clusters: 17, eps: 0.7000000000000002, min_samples: 5, Silhouette: 0.5896802208732368, DB Score: 1.1553419416318407, Combined Score: 3.5260116909422203
Clusters: 11, eps: 0.7000000000000002, min_samples: 10, Silhouette: 0.5641213333996654, DB Score: 1.293158369568785, Combined Score: 3.4272529077310945
Clusters: 9, eps: 0.7000000000000002, min_samples: 15, Silhouette: 0.5543593799106916, DB Score: 1.291090076457561, Combined Score: 3.3949291376309274
Clusters: 7, eps: 0.7000000000000002, min_samples: 20, Silhouette: 0.5450013896399087, DB Score: 1.369391982867461, Combined Score: 3.357863151508394
Clusters: 6, eps: 0.7000000000000002, min_samples: 25, Silhouette: 0.5372286843646956, DB Score: 1.4471135615561115, Combined Score: 3.3267512821499037
Clusters: 17, eps: 0.7500000000000002, min_samples: 5, Silhouette: 0.5930478399902717, DB Score: 1.192267575917513, Combined Score: 3.5341619591266196
Clusters: 12, eps: 0.7500000000000002, min_samples: 10, Silhouette: 0.5729069092363698, DB Score: 1.254901171300847, Combined Score: 3.459979915302401
Clusters: 8, eps: 0.7500000000000002, min_samples: 15, Silhouette: 0.5585101489069532, DB Score: 1.3450355567237213, Combined Score: 3.404374745495083
Clusters: 7, eps: 0.7500000000000002, min_samples: 20, Silhouette: 0.5450013896399087, DB Score: 1.369391982867461, Combined Score: 3.357863151508394
Clusters: 6, eps: 0.7500000000000002, min_samples: 25, Silhouette: 0.5393599532360761, DB Score: 1.444320490371284, Combined Score: 3.333895866043742
Clusters: 17, eps: 0.8000000000000002, min_samples: 5, Silhouette: 0.5963975369286141, DB Score: 1.1823495804369497, Combined Score: 3.5466222693122007
Clusters: 11, eps: 0.8000000000000002, min_samples: 10, Silhouette: 0.577132970207789, DB Score: 1.2751337707554167, Combined Score: 3.4725575872405114
Clusters: 8, eps: 0.8000000000000002, min_samples: 15, Silhouette: 0.5589687869210305, DB Score: 1.3469605425107645, Combined Score: 3.405750313802771
Clusters: 7, eps: 0.8000000000000002, min_samples: 20, Silhouette: 0.5456224552224526, DB Score: 1.367374977090576, Combined Score: 3.3600558731884775
Clusters: 6, eps: 0.8000000000000002, min_samples: 25, Silhouette: 0.5393599532360761, DB Score: 1.444320490371284, Combined Score: 3.333895866043742
Clusters: 17, eps: 0.8500000000000002, min_samples: 5, Silhouette: 0.5963975369286141, DB Score: 1.1823495804369497, Combined Score: 3.5466222693122007
Clusters: 11, eps: 0.8500000000000002, min_samples: 10, Silhouette: 0.5777586212461407, DB Score: 1.2746822332041938, Combined Score: 3.474716274570058
Clusters: 8, eps: 0.8500000000000002, min_samples: 15, Silhouette: 0.560988607701261, DB Score: 1.3502935271183505, Combined Score: 3.412218978449027
Clusters: 7, eps: 0.8500000000000002, min_samples: 20, Silhouette: 0.5456224552224526, DB Score: 1.367374977090576, Combined Score: 3.3600558731884775
Clusters: 6, eps: 0.8500000000000002, min_samples: 25, Silhouette: 0.5393599532360761, DB Score: 1.444320490371284, Combined Score: 3.333895866043742
Clusters: 17, eps: 0.9000000000000002, min_samples: 5, Silhouette: 0.5963975369286141, DB Score: 1.1823495804369497, Combined Score: 3.5466222693122007
Clusters: 12, eps: 0.9000000000000002, min_samples: 10, Silhouette: 0.5794250971209111, DB Score: 1.2901022764775394, Combined Score: 3.479088628967641
Clusters: 8, eps: 0.9000000000000002, min_samples: 15, Silhouette: 0.560988607701261, DB Score: 1.3502935271183505, Combined Score: 3.412218978449027
Clusters: 8, eps: 0.9000000000000002, min_samples: 20, Silhouette: 0.5556583122610063, DB Score: 1.3482192579900947, Combined Score: 3.3946539954377304
Clusters: 6, eps: 0.9000000000000002, min_samples: 25, Silhouette: 0.5393599532360761, DB Score: 1.444320490371284, Combined Score: 3.333895866043742
Clusters: 17, eps: 0.9500000000000003, min_samples: 5, Silhouette: 0.5987720808153065, DB Score: 1.1584394502227409, Combined Score: 3.5570606954472948
Clusters: 12, eps: 0.9500000000000003, min_samples: 10, Silhouette: 0.5830501783372121, DB Score: 1.2968733695863675, Combined Score: 3.490866399478226
Clusters: 10, eps: 0.9500000000000003, min_samples: 15, Silhouette: 0.5700335805983903, DB Score: 1.334326865841463, Combined Score: 3.443767337379398
Clusters: 8, eps: 0.9500000000000003, min_samples: 20, Silhouette: 0.5599430286631528, DB Score: 1.3524757182109721, Combined Score: 3.408564870103212
Clusters: 6, eps: 0.9500000000000003, min_samples: 25, Silhouette: 0.5393599532360761, DB Score: 1.444320490371284, Combined Score: 3.333895866043742
Clusters: 16, eps: 1.0000000000000004, min_samples: 5, Silhouette: 0.6005951684773172, DB Score: 1.1745515998216685, Combined Score: 3.5618740789736436
Clusters: 12, eps: 1.0000000000000004, min_samples: 10, Silhouette: 0.5840574457873778, DB Score: 1.301865460552561, Combined Score: 3.493893344901517
Clusters: 10, eps: 1.0000000000000004, min_samples: 15, Silhouette: 0.5705557772686475, DB Score: 1.3330004625994676, Combined Score: 3.445629722401403
Clusters: 8, eps: 1.0000000000000004, min_samples: 20, Silhouette: 0.5614936591946696, DB Score: 1.353755698944353, Combined Score: 3.4136347668725566
Clusters: 6, eps: 1.0000000000000004, min_samples: 25, Silhouette: 0.5393599532360761, DB Score: 1.444320490371284, Combined Score: 3.333895866043742
