Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: sched_dep_time
Target column sched_dep_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_67.74%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_67.74%_HC.png
Program completed in: 14.75822925567627 seconds
5618652302, Weighted Score: 8.538373198203116
Cluster count: 66, Silhouette Score: 0.7487125458857515, Davies-Bouldin Score: 0.5237077356557165, Weighted Score: 4.200735150738945
Cluster count: 67, Silhouette Score: 0.7492788412051425, Davies-Bouldin Score: 0.5211136172441194, Weighted Score: 4.203475587242812
Cluster count: 68, Silhouette Score: 0.7507729111961345, Davies-Bouldin Score: 0.5081332546778266, Weighted Score: 4.211821813931946
Cluster count: 69, Silhouette Score: 0.7454807036001209, Davies-Bouldin Score: 0.50956169501123, Weighted Score: 4.190285869990573
Cluster count: 70, Silhouette Score: 0.7449255646918993, Davies-Bouldin Score: 0.5070180752017169, Weighted Score: 4.1885193625975425
Cluster count: 71, Silhouette Score: 0.7454138919723303, Davies-Bouldin Score: 0.4998621195651303, Weighted Score: 4.191774597667205
Cluster count: 72, Silhouette Score: 0.7439622555473165, Davies-Bouldin Score: 0.5028759274362454, Weighted Score: 4.18541042274083
Cluster count: 73, Silhouette Score: 0.7445932527491967, Davies-Bouldin Score: 0.48919720733554856, Weighted Score: 4.190436589118004
Cluster count: 74, Silhouette Score: 0.7455378035162396, Davies-Bouldin Score: 0.4847799924405257, Weighted Score: 4.195037000414121
Cluster count: 75, Silhouette Score: 0.7416337750106317, Davies-Bouldin Score: 0.48534492873218976, Weighted Score: 4.179306904021449
Cluster count: 76, Silhouette Score: 0.7397262692880816, Davies-Bouldin Score: 0.48579883672411894, Weighted Score: 4.171610534248908
Cluster count: 77, Silhouette Score: 0.739976898283945, Davies-Bouldin Score: 0.47790702635413046, Weighted Score: 4.174072217663391
Cluster count: 78, Silhouette Score: 0.739595457438818, Davies-Bouldin Score: 0.47347497965455704, Weighted Score: 4.173377599840646
Cluster count: 79, Silhouette Score: 0.7399850612981075, Davies-Bouldin Score: 0.4728292948581104, Weighted Score: 4.17505175420426
Cluster count: 80, Silhouette Score: 0.7402688196464615, Davies-Bouldin Score: 0.4603400333705204, Weighted Score: 4.17853333782178
Cluster count: 81, Silhouette Score: 0.7405569366732322, Davies-Bouldin Score: 0.4565492234943213, Weighted Score: 4.180401904314673
Cluster count: 82, Silhouette Score: 0.73969552416231, Davies-Bouldin Score: 0.4544104271463709, Weighted Score: 4.177372927785525
Cluster count: 83, Silhouette Score: 0.7321754280179471, Davies-Bouldin Score: 0.45784482066727483, Weighted Score: 4.146850363913188
Cluster count: 84, Silhouette Score: 0.7328109502804415, Davies-Bouldin Score: 0.4562405651371786, Weighted Score: 4.149670682737545
Cluster count: 85, Silhouette Score: 0.7274780572118634, Davies-Bouldin Score: 0.4576808420469451, Weighted Score: 4.1283373146164175
Cluster count: 86, Silhouette Score: 0.7254911502286413, Davies-Bouldin Score: 0.45858162704851424, Weighted Score: 4.120348711355966
Cluster count: 87, Silhouette Score: 0.7026972247810455, Davies-Bouldin Score: 0.4595433577670549, Weighted Score: 4.031583846049848
Cluster count: 88, Silhouette Score: 0.7029321027513039, Davies-Bouldin Score: 0.45433738149709235, Weighted Score: 4.033475336199739
Cluster count: 89, Silhouette Score: 0.7059892609079902, Davies-Bouldin Score: 0.4539466294029174, Weighted Score: 4.045316454735474
Cluster count: 90, Silhouette Score: 0.7057840309615244, Davies-Bouldin Score: 0.45058039426510016, Weighted Score: 4.045167885629913
Cluster count: 91, Silhouette Score: 0.7054104374524979, Davies-Bouldin Score: 0.4505630490179348, Weighted Score: 4.043731644791438
Cluster count: 92, Silhouette Score: 0.7027240142588084, Davies-Bouldin Score: 0.45195609535202314, Weighted Score: 4.03312981374992
Cluster count: 93, Silhouette Score: 0.702603265575406, Davies-Bouldin Score: 0.4528212173036303, Weighted Score: 4.032500806317958
Cluster count: 94, Silhouette Score: 0.7023791796463439, Davies-Bouldin Score: 0.45460963239184593, Weighted Score: 4.031299185877421
Cluster count: 95, Silhouette Score: 0.6997111835789166, Davies-Bouldin Score: 0.45274895056350817, Weighted Score: 4.02141998298255
Cluster count: 96, Silhouette Score: 0.6986149597029225, Davies-Bouldin Score: 0.4512441889636986, Weighted Score: 4.017510295923729

Best number of clusters: 59
Best Weighted Score: 4.220207009406568
Final Silhouette Score: 0.7540049432309779
Final Davies-Bouldin Score: 0.5343218005650209
