Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: act_dep_time
Target column act_dep_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_40.76%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_40.76%_HC.png
Program completed in: 15.771418333053589 seconds
.6526692853541285, Weighted Score: 8.28827424677372
Cluster count: 72, Silhouette Score: 0.7518765130420315, Davies-Bouldin Score: 0.5619208777320923, Weighted Score: 4.206821849080468
Cluster count: 73, Silhouette Score: 0.752725904494143, Davies-Bouldin Score: 0.543195847900269, Weighted Score: 4.213484055990419
Cluster count: 74, Silhouette Score: 0.7485459381601423, Davies-Bouldin Score: 0.5441272233362527, Weighted Score: 4.196473268846419
Cluster count: 75, Silhouette Score: 0.7522052440316751, Davies-Bouldin Score: 0.5255613556661254, Weighted Score: 4.2144819028572975
Cluster count: 76, Silhouette Score: 0.7538669187689496, Davies-Bouldin Score: 0.5198878482086409, Weighted Score: 4.222205004428057
Cluster count: 77, Silhouette Score: 0.7502336191429663, Davies-Bouldin Score: 0.5183246512261409, Weighted Score: 4.207818276496907
Cluster count: 78, Silhouette Score: 0.75389836553568, Davies-Bouldin Score: 0.49500693539023627, Weighted Score: 4.226826007203181
Cluster count: 79, Silhouette Score: 0.7513320995268484, Davies-Bouldin Score: 0.4937028991950322, Weighted Score: 4.216700069828411
Cluster count: 80, Silhouette Score: 0.7511009830999301, Davies-Bouldin Score: 0.49026276450078904, Weighted Score: 4.2163989513967675
Cluster count: 81, Silhouette Score: 0.7493849434045455, Davies-Bouldin Score: 0.49424526146258635, Weighted Score: 4.208754394827091
Cluster count: 82, Silhouette Score: 0.751194630597932, Davies-Bouldin Score: 0.4891773436078493, Weighted Score: 4.216976160645427
Cluster count: 83, Silhouette Score: 0.7515950735070184, Davies-Bouldin Score: 0.48498387457371417, Weighted Score: 4.219364447908145
Cluster count: 84, Silhouette Score: 0.7519548269366463, Davies-Bouldin Score: 0.4802093348986127, Weighted Score: 4.221700213187033
Cluster count: 85, Silhouette Score: 0.7531177944726686, Davies-Bouldin Score: 0.47604894420270794, Weighted Score: 4.227170562633882
Cluster count: 86, Silhouette Score: 0.7541073908157111, Davies-Bouldin Score: 0.4761255353371894, Weighted Score: 4.231157029665638
Cluster count: 87, Silhouette Score: 0.7531166376009558, Davies-Bouldin Score: 0.4778446530023414, Weighted Score: 4.226831522140068
Cluster count: 88, Silhouette Score: 0.7538999372914994, Davies-Bouldin Score: 0.4751349835873352, Weighted Score: 4.230502694766249
Cluster count: 89, Silhouette Score: 0.7529943417655642, Davies-Bouldin Score: 0.4736187060757009, Weighted Score: 4.227125219740563
Cluster count: 90, Silhouette Score: 0.7514500280036837, Davies-Bouldin Score: 0.474891685206139, Weighted Score: 4.220652870444095
Cluster count: 91, Silhouette Score: 0.7520899454582991, Davies-Bouldin Score: 0.4697452219884892, Weighted Score: 4.224197898344986
Cluster count: 92, Silhouette Score: 0.7471764930491985, Davies-Bouldin Score: 0.47108134114093975, Weighted Score: 4.204162240389858
Cluster count: 93, Silhouette Score: 0.7472282127645181, Davies-Bouldin Score: 0.47119947907817855, Weighted Score: 4.2043478711385225
Cluster count: 94, Silhouette Score: 0.7452619324308702, Davies-Bouldin Score: 0.47151060583748816, Weighted Score: 4.19639868449408
Cluster count: 95, Silhouette Score: 0.7451686320757457, Davies-Bouldin Score: 0.4691992226527454, Weighted Score: 4.196457876158466
Cluster count: 96, Silhouette Score: 0.743342754039404, Davies-Bouldin Score: 0.4692720346675703, Weighted Score: 4.189131299059647

Best number of clusters: 86
Best Weighted Score: 4.231157029665638
Final Silhouette Score: 0.7541073908157111
Final Davies-Bouldin Score: 0.4761255353371894
