Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_30.63%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_30.63%_DBSCAN.png
Program completed in: 12.037281274795532 seconds
n act_dep_time
Starting DBSCAN clustering at 2024-10-17 22:57:39
Clusters: 24, eps: 0.6500000000000001, min_samples: 20, Silhouette: 0.4296967562983819, DB Score: 1.0963779925233108, Combined Score: 3.0244262332803347
Clusters: 19, eps: 0.6500000000000001, min_samples: 25, Silhouette: 0.35726482146168415, DB Score: 1.162360796920861, Combined Score: 2.8137098477955487
Clusters: 31, eps: 0.7000000000000002, min_samples: 5, Silhouette: 0.5160111435813464, DB Score: 0.9058998097577957, Combined Score: 3.3090699113301296
Clusters: 31, eps: 0.7000000000000002, min_samples: 10, Silhouette: 0.5089210191954862, DB Score: 1.0173417838927166, Combined Score: 3.2737608472940383
Clusters: 29, eps: 0.7000000000000002, min_samples: 15, Silhouette: 0.48426270572992974, DB Score: 1.071177416785521, Combined Score: 3.190979505972596
Clusters: 24, eps: 0.7000000000000002, min_samples: 20, Silhouette: 0.4337611165852532, DB Score: 1.088141589081776, Combined Score: 3.0371643227672473
Clusters: 20, eps: 0.7000000000000002, min_samples: 25, Silhouette: 0.3853621074371274, DB Score: 1.1011350208898274, Combined Score: 2.897138950765254
Clusters: 31, eps: 0.7500000000000002, min_samples: 5, Silhouette: 0.5160111435813464, DB Score: 0.9058998097577957, Combined Score: 3.3090699113301296
Clusters: 32, eps: 0.7500000000000002, min_samples: 10, Silhouette: 0.51326590807261, DB Score: 0.9602046046719047, Combined Score: 3.2939215597623237
Clusters: 28, eps: 0.7500000000000002, min_samples: 15, Silhouette: 0.48710744810509965, DB Score: 1.0660643670601568, Combined Score: 3.200304013934469
Clusters: 23, eps: 0.7500000000000002, min_samples: 20, Silhouette: 0.44187055831684635, DB Score: 1.0873522116269168, Combined Score: 3.061151155376647
Clusters: 20, eps: 0.7500000000000002, min_samples: 25, Silhouette: 0.4027644705790914, DB Score: 1.110190996961186, Combined Score: 2.945346977057404
Clusters: 32, eps: 0.8000000000000002, min_samples: 5, Silhouette: 0.5162336474428352, DB Score: 0.876709115023258, Combined Score: 3.3133709292116813
Clusters: 31, eps: 0.8000000000000002, min_samples: 10, Silhouette: 0.514411584752182, DB Score: 0.9545237568986313, Combined Score: 3.298220111555566
Clusters: 28, eps: 0.8000000000000002, min_samples: 15, Silhouette: 0.4912279992894272, DB Score: 1.034846382811473, Combined Score: 3.2163676174323776
Clusters: 24, eps: 0.8000000000000002, min_samples: 20, Silhouette: 0.4561547470636126, DB Score: 1.0312184904474966, Combined Score: 3.1095753373441872
Clusters: 22, eps: 0.8000000000000002, min_samples: 25, Silhouette: 0.4170925500818356, DB Score: 1.1134117734221929, Combined Score: 2.9861075561806762
Clusters: 32, eps: 0.8500000000000002, min_samples: 5, Silhouette: 0.5168055081510778, DB Score: 0.8462041830907788, Combined Score: 3.3190619155783554
Clusters: 31, eps: 0.8500000000000002, min_samples: 10, Silhouette: 0.5160910789876247, DB Score: 0.9030351087342707, Combined Score: 3.3096725937030484
Clusters: 28, eps: 0.8500000000000002, min_samples: 15, Silhouette: 0.49310578588106396, DB Score: 1.0381982371391794, Combined Score: 3.221855956048313
Clusters: 25, eps: 0.8500000000000002, min_samples: 20, Silhouette: 0.4665747537367494, DB Score: 1.035567284276687, Combined Score: 3.1405618738037626
Clusters: 23, eps: 0.8500000000000002, min_samples: 25, Silhouette: 0.436597130828091, DB Score: 1.0987233811999362, Combined Score: 3.044439316668295
Clusters: 32, eps: 0.9000000000000002, min_samples: 5, Silhouette: 0.5168055081510778, DB Score: 0.8462041830907788, Combined Score: 3.3190619155783554
Clusters: 31, eps: 0.9000000000000002, min_samples: 10, Silhouette: 0.5160910789876247, DB Score: 0.9030351087342707, Combined Score: 3.3096725937030484
Clusters: 28, eps: 0.9000000000000002, min_samples: 15, Silhouette: 0.49417190804998085, DB Score: 1.0308924612526131, Combined Score: 3.225958284828927
Clusters: 26, eps: 0.9000000000000002, min_samples: 20, Silhouette: 0.47131803830157104, DB Score: 1.0502438963598375, Combined Score: 3.153435688607577
Clusters: 23, eps: 0.9000000000000002, min_samples: 25, Silhouette: 0.4406133529040907, DB Score: 1.0902236487338526, Combined Score: 3.0571421632949938
Clusters: 32, eps: 0.9500000000000003, min_samples: 5, Silhouette: 0.5173199304641838, DB Score: 0.84429467059416, Combined Score: 3.3209495371139943
Clusters: 31, eps: 0.9500000000000003, min_samples: 10, Silhouette: 0.5164740747630939, DB Score: 0.8945593486238943, Combined Score: 3.3119288887440685
Clusters: 29, eps: 0.9500000000000003, min_samples: 15, Silhouette: 0.5006290832033433, DB Score: 1.0558742145412074, Combined Score: 3.2435229684830107
Clusters: 26, eps: 0.9500000000000003, min_samples: 20, Silhouette: 0.4743452398901925, DB Score: 1.035979892836975, Combined Score: 3.1641858511600844
Clusters: 23, eps: 0.9500000000000003, min_samples: 25, Silhouette: 0.44885837317722815, DB Score: 1.068909061283818, Combined Score: 3.0837901612855987
Clusters: 32, eps: 1.0000000000000004, min_samples: 5, Silhouette: 0.5173199304641838, DB Score: 0.84429467059416, Combined Score: 3.3209495371139943
Clusters: 31, eps: 1.0000000000000004, min_samples: 10, Silhouette: 0.5164740747630939, DB Score: 0.8945593486238943, Combined Score: 3.3119288887440685
Clusters: 30, eps: 1.0000000000000004, min_samples: 15, Silhouette: 0.5059087794838917, DB Score: 1.073792194519847, Combined Score: 3.2582872089389667
Clusters: 26, eps: 1.0000000000000004, min_samples: 20, Silhouette: 0.4819278760741493, DB Score: 1.0120672889680749, Combined Score: 3.190036076710027
Clusters: 23, eps: 1.0000000000000004, min_samples: 25, Silhouette: 0.451604676320749, DB Score: 1.059321670532985, Combined Score: 3.09297991839814
